user_id,area,area_km2,lat_min,lat_max,lon_min,lon_max
248,43388300.9297,43.3883009297,43.10261,43.03591,141.5221,141.2962
269,803.21875,0.00080321875,34.45804,34.45522,135.3827,135.3781
113,142136499.125,142.136499125,34.5727,34.39372,132.8636,132.501
157,791292151.922,791.292151922,35.00376,34.69008,135.7695,135.5011
156,280816.226562,0.280816226562,35.70473,35.69537,139.6114,139.598
195,215817707.016,215.817707016,38.43961,38.22315,141.2698,140.9511
277,437310.328125,0.437310328125,35.70369,35.69612,139.6031,139.5956
265,504449166.742,504.449166742,36.09564,35.84339,139.9137,139.6669
219,9014792.92969,9.01479292969,35.76959,35.72722,139.8059,139.7103
115,80501091.3359,80.5010913359,35.68109,35.44342,139.7807,139.4004
102,165016807.148,165.016807148,35.69814,35.6282,140.0577,139.7003
131,81723174.5312,81.7231745313,37.89289,37.78662,139.1234,139.0018
273,222962991.148,222.962991148,35.89123,35.49884,140.5104,139.7643
137,11080747.7422,11.0807477422,35.69607,35.65436,139.7975,139.7509
136,26377229.1797,26.3772291797,35.53088,35.45585,139.6969,139.5316
135,21040666801.2,21040.6668012,35.75985,34.98448,139.7731,135.7579
226,3150434.82812,3.15043482813,35.6978,35.6482,139.8454,139.7522
252,126570462.414,126.570462414,39.78432,39.68316,141.1469,141.0714
279,474746377.836,474.746377836,35.87515,35.68488,139.8689,139.783
251,583174211.93,583.17421193,35.91328,35.64594,139.7078,139.4559
230,1215122205.43,1215.12220543,35.96871,35.68394,139.818,139.7421
118,686517227.086,686.517227086,35.81418,35.45357,139.8264,139.386
232,361789586.602,361.789586602,33.42833,33.2053,130.5502,130.3734
255,40313757.6797,40.3137576797,35.79657,35.64515,139.7298,139.438
234,173389919.336,173.389919336,34.23776,33.97408,133.892,133.5395
169,351255713.484,351.255713484,34.65715,34.48978,135.6107,135.5439
249,206235360.625,206.235360625,35.80326,35.6743,139.7842,139.7172
222,2354009.44531,2.35400944531,35.16762,35.14945,136.9447,136.9013
243,2074138.89844,2.07413889844,26.25359,26.21976,127.7575,127.7148
320,7643902.71875,7.64390271875,34.41108,34.37995,132.4669,132.4417
181,260924143.289,260.924143289,36.24908,36.11699,137.9782,137.9435
162,1254824712.5,1254.8247125,35.87224,35.45258,139.8241,139.388
185,1750098947.16,1750.09894716,36.1997,35.68345,139.7081,139.136
281,98681594999.2,98681.5949992,35.65023,33.93349,139.7577,131.2746
105,7694771.39844,7.69477139844,35.77148,35.72762,139.8048,139.7103
285,5172363.42969,5.17236342969,43.07731,43.02999,141.4405,141.3435
278,847413593.227,847.413593227,36.60237,36.32695,140.6543,140.4644
239,2381004.71875,2.38100471875,35.69832,35.64984,139.7923,139.7123
303,1445196306.88,1445.19630688,36.19818,35.68322,139.7672,139.1389
304,27282716.9922,27.2827169922,35.72972,35.6748,139.9086,139.7628
263,23804400127.9,23804.4001279,38.31604,35.6005,140.9418,136.8748
244,30762702.7266,30.7627027266,35.63063,35.57527,139.7444,139.5925
261,3802167.35156,3.80216735156,34.6694,34.62334,135.5595,135.4761
123,324832.828125,0.324832828125,34.4164,34.37909,132.4844,132.4262
241,15510640.6719,15.5106406719,35.80171,35.68604,139.9813,139.7647
125,53792643.9453,53.7926439453,35.0099,34.94668,136.9153,136.8936
126,181739.1875,0.1817391875,34.71524,34.7107,135.5114,135.5079
228,1.14825609169e+11,114825.609169,35.73716,33.89886,140.0415,130.8644
164,9362683.51562,9.36268351563,35.69005,35.64817,139.8461,139.7505
165,1803629815.16,1803.62981516,35.97619,35.63004,139.8206,139.7311
166,1831755243.14,1831.75524314,36.66759,36.32964,139.1196,139.0579
167,25083280.0391,25.0832800391,35.81075,35.64361,140.0402,139.7616
223,1973509.83594,1.97350983594,36.05451,36.02493,139.597,139.5379
107,75777511.5156,75.7775115156,35.80207,35.68513,139.9814,139.7114
104,121734070.789,121.734070789,36.56452,36.4445,136.5813,136.4717
163,301903188.273,301.903188273,33.40584,33.2053,130.5277,130.3734
270,12102085.2422,12.1020852422,34.84923,34.79985,137.3767,137.3185
189,15882211.7266,15.8822117266,34.63896,34.5785,135.5966,135.5237
266,248042924.945,248.042924945,35.74889,35.45191,139.8264,139.3914
310,1233544.26562,1.23354426562,33.59055,33.57262,130.3413,130.3209
256,193159397.328,193.159397328,35.74139,35.45494,139.8265,139.3939
332,29051096995.6,29051.0969956,35.7101,34.69443,139.9928,135.4393
274,978739432.164,978.739432164,35.6885,35.31812,139.7817,139.4005
295,30819943.0781,30.8199430781,35.53034,35.42969,139.6981,139.4929
110,55334048.7578,55.3340487578,43.09056,43.05214,141.5319,141.2838
